,y_test,prediction
454,1,0
52,0,1
536,1,1
469,0,0
55,1,1
62,0,0
539,1,1
432,1,1
367,0,0
482,1,1
310,1,1
498,1,1
233,1,1
361,1,1
424,1,1
357,0,1
449,0,0
386,1,0
473,1,1
553,0,0
48,0,0
433,1,1
243,1,1
356,1,1
187,1,1
511,1,0
440,1,1
173,1,1
211,0,0
548,0,0
350,1,1
190,1,0
200,1,1
441,1,1
103,1,1
414,0,0
294,1,1
535,1,1
224,1,1
560,1,1
206,1,1
567,0,0
14,1,1
342,1,1
193,1,1
196,1,1
178,1,1
405,1,1
1,0,0
304,1,1
343,1,1
362,1,1
496,1,1
127,1,1
418,1,0
348,1,0
397,1,1
365,0,1
8,1,1
194,1,1
122,1,0
210,0,1
406,1,1
17,0,0
427,1,1
21,1,1
460,1,1
85,1,1
165,1,1
490,1,1
181,0,0
354,1,1
607,1,1
247,1,1
37,1,1
504,1,1
581,0,0
34,0,0
246,1,1
64,0,0
500,1,0
487,0,1
404,0,1
612,1,1
378,0,1
497,1,1
549,1,1
12,1,0
385,1,1
230,1,1
50,1,1
31,0,1
585,0,1
78,0,0
609,1,0
66,0,0
142,1,1
222,1,1
92,1,1
157,1,1
562,1,0
422,1,1
240,1,1
245,0,1
602,1,1
15,1,1
252,1,1
45,1,1
6,1,1
172,0,1
229,1,1
268,0,0
75,0,1
10,1,1
250,0,0
453,1,0
556,1,1
261,1,1
337,1,1
376,1,1
278,1,1
466,0,0
303,1,1
90,1,1
533,0,1
452,0,0
355,1,1
266,1,1
118,0,1
144,1,1
403,1,1
603,1,1
366,0,1
568,0,1
235,1,1
239,1,1
315,1,1
318,1,1
132,1,1
566,1,1
279,1,1
493,1,1
358,0,0
425,1,1
592,1,1
308,0,1
96,1,1
443,1,0
532,0,0
399,0,0
89,1,1
271,1,1
563,1,1
162,0,0
46,1,1
272,1,1
474,1,1
382,1,1
283,1,1
107,0,1
205,1,1
384,0,1
0,1,1
202,0,1
71,1,1
170,1,1
102,1,0
407,1,0
108,0,0
573,0,1
613,0,0
313,1,1
509,1,1
419,1,1
298,0,1
492,1,1
480,1,1
26,1,1
604,1,1
332,1,1
242,1,1
515,1,1
582,1,1
225,0,1
134,1,1
